deposit_id,deposit_fecha,deposit_subtotal,deposit_iva,deposit_ieps,deposit_total,sales_fecha,matched_subtotal,matched_iva,matched_ieps,matched_total,diff_subtotal,diff_iva,diff_ieps,diff_total,diff_total_abs,subtotal_precision_pct,iva_precision_pct,ieps_precision_pct,num_folios,strategy_used,tolerance_used,processing_time_seconds
3282,2023-07-03,3804.67,0.0,0.0,3804.67,2023-06-28,3804.67,0.0,0.0,3804.67,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,5,fast_greedy,1.0,0.20325493812561035
31,2023-07-03,11425.18,0.0,0.0,11425.18,2023-06-28,11425.18,0.0,0.0,11425.18,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,12,fast_greedy,1.0,0.34984302520751953
3314,2023-07-03,11529.82,0.0,0.0,11529.82,2023-07-01,11529.82,0.0,0.0,11529.82,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,5,fast_greedy,1.0,0.24320077896118164
18,2023-07-03,17447.37,0.0,0.0,17447.37,2023-06-27,17447.37,0.0,0.0,17447.37,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,13,fast_greedy,1.0,0.5155560970306396
3288,2023-07-03,7696.73,0.0,0.0,7696.73,2023-06-30,7696.72,0.0,0.0,7696.72,0.009999999999308784,0.0,0.0,0.009999999999308784,0.009999999999308784,99.99987007469406,100.0,100.0,4,fast_greedy,1.0,0.21573615074157715
34,2023-07-03,10901.42,0.0,0.0,10901.42,2023-06-27,10901.42,0.0,0.0,10901.42,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,11,fast_greedy,1.0,0.3614323139190674
77,2023-07-03,4685.27,0.0,0.0,4685.27,2023-06-25,4685.28,0.0,0.0,4685.28,-0.009999999999308784,0.0,0.0,-0.009999999999308784,0.009999999999308784,100.0002134348714,100.0,100.0,4,fast_greedy,1.0,0.32106995582580566
1390,2023-07-03,23353.0,0.0,0.0,23353.0,2023-06-24,23353.0,0.0,0.0,23353.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.864072322845459
3273,2023-07-03,15349.53,0.0,0.0,15349.53,2023-06-29,15349.53,0.0,0.0,15349.53,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,7,fast_greedy,1.0,0.33063268661499023
1571,2023-07-03,1687.0,0.0,0.0,1687.0,2023-07-01,1687.0,0.0,0.0,1687.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,2,fast_greedy,1.0,0.13496685028076172
3310,2023-07-03,13309.85,0.0,0.0,13309.85,2023-06-29,13309.85,0.0,0.0,13309.85,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,7,fast_greedy,1.0,0.3096046447753906
3327,2023-07-03,5940.08,0.0,0.0,5940.08,2023-06-30,5940.08,0.0,0.0,5940.08,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.2562835216522217
1564,2023-07-03,4670.0,0.0,0.0,4670.0,2023-06-28,4670.0,0.0,0.0,4670.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,6,fast_greedy,1.0,0.22759437561035156
3299,2023-07-03,3347.71,0.0,0.0,3347.71,2023-06-29,3347.71,0.0,0.0,3347.71,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.17323660850524902
89,2023-07-03,2996.03,0.0,0.0,2996.03,2023-06-29,2996.04,0.0,0.0,2996.04,-0.009999999999763531,0.0,0.0,-0.009999999999763531,0.009999999999763531,100.00033377502895,100.0,100.0,3,fast_greedy,1.0,0.15729618072509766
1398,2023-07-03,21245.0,0.0,0.0,21245.0,2023-07-02,21245.0,0.0,0.0,21245.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,23,fast_greedy,1.0,0.30054688453674316
3308,2023-07-03,2422.86,0.0,0.0,2422.86,2023-07-02,2422.86,0.0,0.0,2422.86,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.11209702491760254
1523,2023-07-03,7815.0,0.0,0.0,7815.0,2023-06-30,7815.0,0.0,0.0,7815.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.23395800590515137
1505,2023-07-03,9414.0,0.0,0.0,9414.0,2023-06-29,9414.0,0.0,0.0,9414.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,6,fast_greedy,1.0,0.26857829093933105
1504,2023-07-03,9428.0,0.0,0.0,9428.0,2023-06-23,9428.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.451033353805542
1513,2023-07-03,8730.0,0.0,0.0,8730.0,2023-07-01,8730.0,0.0,0.0,8730.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,5,fast_greedy,1.0,0.2183237075805664
71,2023-07-03,5387.33,0.0,0.0,5387.33,2023-07-02,5387.33,0.0,0.0,5387.33,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,7,fast_greedy,1.0,0.1428697109222412
1568,2023-07-03,3420.0,0.0,0.0,3420.0,2023-06-29,3420.0,0.0,0.0,3420.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.177215576171875
3284,2023-07-03,19819.07,0.0,0.0,19819.07,2023-07-01,19819.07,0.0,0.0,19819.07,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,10,fast_greedy,1.0,0.40779542922973633
33,2023-07-03,11323.85,0.0,0.0,11323.85,2023-07-01,11323.85,0.0,0.0,11323.85,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,6,fast_greedy,1.0,0.2705388069152832
3333,2023-07-03,2981.44,0.0,0.0,2981.44,2023-06-29,2981.44,0.0,0.0,2981.44,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.16080641746520996
81,2023-07-03,3650.03,0.0,0.0,3650.03,2023-07-01,3650.03,0.0,0.0,3650.03,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.15620684623718262
94,2023-07-03,2445.05,0.0,0.0,2445.05,2023-06-26,2445.06,0.0,0.0,2445.06,-0.009999999999763531,0.0,0.0,-0.009999999999763531,0.009999999999763531,100.00040898959122,100.0,100.0,2,fast_greedy,1.0,0.19494199752807617
45,2023-07-03,9541.85,0.0,0.0,9541.85,2023-06-29,9541.85,0.0,0.0,9541.85,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,7,fast_greedy,1.0,0.2833261489868164
1458,2023-07-03,13210.0,0.0,0.0,13210.0,2023-06-30,13210.0,0.0,0.0,13210.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,6,fast_greedy,1.0,0.32688236236572266
103,2023-07-03,1374.55,0.0,0.0,1374.55,2023-07-01,1374.54,0.0,0.0,1374.54,0.009999999999990905,0.0,0.0,0.009999999999990905,0.009999999999990905,99.99927248917828,100.0,100.0,2,fast_greedy,1.0,0.10723543167114258
1397,2023-07-03,21264.0,0.0,0.0,21264.0,2023-06-30,21264.0,0.0,0.0,21264.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,8,fast_greedy,1.0,0.46286725997924805
1482,2023-07-03,11260.0,0.0,0.0,11260.0,2023-07-01,11260.0,0.0,0.0,11260.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,7,fast_greedy,1.0,0.2825663089752197
8,2023-07-03,23122.93,0.0,0.0,23122.93,2023-07-01,23122.93,0.0,0.0,23122.93,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,13,fast_greedy,1.0,0.5016200542449951
1558,2023-07-03,5309.0,0.0,0.0,5309.0,2023-06-26,5309.0,0.0,0.0,5309.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.2693328857421875
1538,2023-07-03,6450.0,0.0,0.0,6450.0,2023-06-26,6450.0,0.0,0.0,6450.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.30721187591552734
1561,2023-07-03,5140.0,0.0,0.0,5140.0,2023-07-02,5140.0,0.0,0.0,5140.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,8,fast_greedy,1.0,0.14596033096313477
1512,2023-07-03,8805.0,0.0,0.0,8805.0,2023-06-27,8805.0,0.0,0.0,8805.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,10,fast_greedy,1.0,0.3373103141784668
